username,post_id,timestamp,likes,comments,followers,engagement_rate,sponsored,is_video,caption,img_file,tier,caption_clean,sentiment_score,caption_length,hashtag_count,emoji_count,has_cta
racheldonnelly11,1545223035186236839,1498424961,315,0,5118.0,0.0615474794841735,0,0,"Another holiday pic, shock 🏝",info\racheldonnelly11-1545223035186236839.jpg,micro,"Another holiday pic, shock 🏝",0.0,28,0,1,0
rosegold_beautyx,1157599554182506250,1452216642,295,16,63759.0,0.0048777427500431,0,0,"Fresh brows.. Meant i HAD to do my make up lol eye details: i used the @tartecosmetics tartelle palette from my transition colors, as well as outer corner. @anastasiabeverlyhills new fall shadow in macaroon for the main color in the lid Liner: purple is from @colourpopcosmetics and black one from @maybelline Lashes: @hudabeauty @shophudabeauty in giselle #1 Brows: #browdefiner in dark brown plus clear brow gel Contacts @prettyfabulouz in mellow peach #anastasiabeverlyhills #anastasiabrows #makegirlz #shophudabeauty #hudabeauty #vegas_nay #brian_champagne #wakeupandmakeup",info\rosegold_beautyx-1157599554182506250.jpg,mid,"Fresh brows.. Meant i HAD to do my make up lol eye details: i used the tartelle palette from my transition colors, as well as outer corner. new fall shadow in macaroon for the main color in the lid Liner: purple is from and black one from Lashes: in giselle 1 Brows: browdefiner in dark brown plus clear brow gel Contacts in mellow peach anastasiabeverlyhills anastasiabrows makegirlz shophudabeauty hudabeauty vegas_nay brian_champagne wakeupandmakeup",0.4215,577,10,0,0
lovanorlund,1392829890235778320,1480258283,103,2,1177.0,0.0892098555649957,0,0,Nu är det jul hemma hos Hedlund/Norlund ✨🎄,info\lovanorlund-1392829890235778320.jpg,micro,Nu är det jul hemma hos Hedlund/Norlund ✨🎄,0.0,42,0,2,0
iamgmoust,1924040026035883447,1543583466,426,3,20970.0,0.0204577968526466,0,0,Love my look with @anastasiabeverlyhills find your own nude with peach 🍑 👄 #anastasiabeverlyhills #collab #model #lovemywork #friyaylook #wakeupmakeup #sassy #nude @makeupgoals,info\iamgmoust-1924040026035883447.jpg,mid,Love my look with find your own nude with peach 🍑 👄 anastasiabeverlyhills collab model lovemywork friyaylook wakeupmakeup sassy nude,0.6124,176,8,2,0
thejasminemaria,1703018101812396288,1517235599,887,28,17808.0,0.0513814016172506,0,0,"Happy Monday! I’m so so so excited to share with you that my girls have said YES to being apart of my wedding. Each of my bridesmaids received a customized box with their names + title including customized champagne glass with their names on it, totes, and lip gloss. I also included bridesmaid proposal cards. You can read more about it on the blog LINK IN MY BIO. #weddingwire #engagementedit #bridesmaidproposal #modparty #plumprettysugar #thejasminemaria #YouHadMeAtHernandez2019 @weddingwire",info\thejasminemaria-1703018101812396288.jpg,micro,"Happy Monday! Im so so so excited to share with you that my girls have said YES to being apart of my wedding. Each of my bridesmaids received a customized box with their names + title including customized champagne glass with their names on it, totes, and lip gloss. I also included bridesmaid proposal cards. You can read more about it on the blog LINK IN MY BIO. weddingwire engagementedit bridesmaidproposal modparty plumprettysugar thejasminemaria YouHadMeAtHernandez2019",0.9104,496,7,0,0
minimualist,1855870335631763999,1535457005,824,7,31196.0,0.0266380305167329,0,0,"More glam or more grunge? What do you think? 💗🧐New version of my metal gun smoky eye, this time blended with pink blush “orchid” from @kontigo MO/A #kontigo 💗
.
.
.
I used also “gunmetal” pigment and “gunmetal” glitter from @nyxcosmetics_italy 🖤🖤
#nyxcosmetics #nyxcosmeticsitaly #nyx #metalgun #smokyeye #pigment #glitter #eyeshadows #blush #glammakeup #grungestyle#blueeyes #wamfam #wakeupandmakeup #undiscoveredmuas",info\minimualist-1855870335631763999.jpg,mid,"More glam or more grunge? What do you think? 💗🧐New version of my metal gun smoky eye, this time blended with pink blush orchid from MO/A kontigo 💗 . . . I used also gunmetal pigment and gunmetal glitter from 🖤🖤 nyxcosmetics nyxcosmeticsitaly nyx metalgun smokyeye pigment glitter eyeshadows blush glammakeup grungestyleblueeyes wamfam wakeupandmakeup undiscoveredmuas",0.4767,418,16,5,0
syrenaadele,1755428897761189546,1523483453,1068,10,9845.0,0.1094972067039106,0,0,"My skin has been THRIVING thanks to my new obsession, my personalized moisturizer from @roseandabbot ! It’s custom made for my skin concerns. I even got to choose my bottle and scent. I chose their unicorn scent, of course 🦄 🤗 Click the link in my bio to take your quiz and get your custom moisturizer for 30% off!  #ad #hbtsp #hbtroseandabbot #uniquelyyou #roseandabbot",info\syrenaadele-1755428897761189546.jpg,micro,"My skin has been THRIVING thanks to my new obsession, my personalized moisturizer from ! Its custom made for my skin concerns. I even got to choose my bottle and scent. I chose their unicorn scent, of course 🦄 🤗 Click the link in my bio to take your quiz and get your custom moisturizer for 30% off! ad hbtsp hbtroseandabbot uniquelyyou roseandabbot",0.4738,370,5,2,1
juhhpadilha,2022136451046745900,1555277471,387,23,18341.0,0.0223542882067499,0,0,"Do stories pro feed💙
De ontem, tava me sentindo tão gata que quis fazer um book😅
Detalhe pra essa calça da @aquamarrio que modela demais o corpo!💙
.
#modaparatodos #modaconsciente #hithelookface #bfmeinspira #lookdodia #cropped #lookofsummer #lookoftoday  #nomundodasdespojadas #lookdodia #mood #hithelookface #jeansmom #jeans #cosalto #kimono #fashionista #lookdodia",info\juhhpadilha-2022136451046745900.jpg,micro,"Do stories pro feed💙 De ontem, tava me sentindo tão gata que quis fazer um book😅 Detalhe pra essa calça da que modela demais o corpo!💙 . modaparatodos modaconsciente hithelookface bfmeinspira lookdodia cropped lookofsummer lookoftoday nomundodasdespojadas lookdodia mood hithelookface jeansmom jeans cosalto kimono fashionista lookdodia",0.0,367,18,3,0
bayareabeautyblogger,1877340709599923402,1538016473,81,101,1553.0,0.1171925305859626,0,0,"GIVEAWAY TIME! This is my first ever Instagram giveaway! I've partnered with @Virginic to give 2 lucky winners 1 Sweet Almond Cleanser - 2 Phase Makeup Remover and 1 Japanese Essential Peppermint Oil each! ⠀
-⠀
To Enter:⠀
1. Follow @bayareabeautyblogger⠀
2. Like this post⠀
3. Comment below and tag 2 friends⠀
-⠀
The winners will be selected at random and notified via DM one week from today, on Wednesday, October 3rd. Open to US residents only. Good Luck!!!⠀
-⠀
@virginic_com⠀
-⠀
#giveaway #usgiveaway #vegan #crueltyfree #pure #skincare #essentialoils
#peppermintoil #cleanser #sweetalmondoil",info\bayareabeautyblogger-1877340709599923402.jpg,micro,"GIVEAWAY TIME! This is my first ever Instagram giveaway! I've partnered with to give 2 lucky winners 1 Sweet Almond Cleanser - 2 Phase Makeup Remover and 1 Japanese Essential Peppermint Oil each! - To Enter: 1. Follow 2. Like this post 3. Comment below and tag 2 friends - The winners will be selected at random and notified via DM one week from today, on Wednesday, October 3rd. Open to US residents only. Good Luck!!! - - giveaway usgiveaway vegan crueltyfree pure skincare essentialoils peppermintoil cleanser sweetalmondoil",0.8827,595,10,0,1
caterina_tonzuso,1793486072450503790,1528020222,82,2,1987.0,0.0422747861097131,0,0,"Terzo giorno di #sicilyfest e terzo di campeggio,4X4,polvere,trial,sole cocente siculo e polline...ma resto sempre la solita viziata e non perdo neanche uno step della mia skin care, con la linea Aquacious di @mesauda_milano 
#skincare #mesauda #aquacious #facecream #cocoon #sonoviziata #autococcole #pellisecche #lagodipozzillo #catania #",info\caterina_tonzuso-1793486072450503790.jpg,micro,"Terzo giorno di sicilyfest e terzo di campeggio,4X4,polvere,trial,sole cocente siculo e polline...ma resto sempre la solita viziata e non perdo neanche uno step della mia skin care, con la linea Aquacious di skincare mesauda aquacious facecream cocoon sonoviziata autococcole pellisecche lagodipozzillo catania #",0.0,340,11,0,0
